Method,path,req,Param_Name,CORS,Dev_resources_id
GET,/setting/currencies,querystring,currency_type,no,xb9v0gg9de
GET,/setting/currencies,querystring,support_CUST_wallet_account,no,xb9v0gg9de
GET,/setting/currencies/exchange/{from_currency_code},header,user_token,no,xb9v0gg9de
GET,/setting/currencies/exchange/{from_currency_code},path,from_currency_code,no,xb9v0gg9de
GET,/setting/currencies/exchange/{from_currency_code},querystring,to_currency_codeoptional,no,xb9v0gg9de
GET,/setting/client_type,header,user_token,no,xb9v0gg9de
POST,/setting/submit_request,header,user_token,no,xb9v0gg9de
POST,/setting/submit_request,body,question_about,no,xb9v0gg9de
POST,/setting/submit_request,body,client_name,no,xb9v0gg9de
POST,/setting/submit_request,body,detail,no,xb9v0gg9de
GET,/internal/decrypt,header,Authorization,no,xb9v0gg9de
GET,/internal/decrypt,body,m_hd_wallet_id,no,xb9v0gg9de
GET,/internal/decrypt,body,hd_wallet_id,no,xb9v0gg9de
GET,/internal/decrypt,body,qrcode_str,no,xb9v0gg9de
POST,/internal/last_access,header,Authorization,no,xb9v0gg9de
POST,/internal/last_access,body,uuid_arroptional,no,xb9v0gg9de
POST,/internal/promon,header,Authorization,no,xb9v0gg9de
POST,/internal/promon,body,uuid,no,xb9v0gg9de
POST,/internal/promon,body,reason,no,xb9v0gg9de
POST,/internal/promon,body,manufacturer,no,xb9v0gg9de
POST,/internal/promon,body,model,no,xb9v0gg9de
POST,/internal/promon,body,android,no,xb9v0gg9de
POST,/internal/promon,body,version,no,xb9v0gg9de
POST,/internal/promon,body,root,no,xb9v0gg9de
POST,/internal/promon,body,keyboard,no,xb9v0gg9de
POST,/internal/promon,body,keyboardname,no,xb9v0gg9de
POST,/internal/promon,body,keyboardversion,no,xb9v0gg9de
POST,/internal/promon,body,keyboardsigner,no,xb9v0gg9de
POST,/internal/promon,body,screenreader,no,xb9v0gg9de
POST,/internal/promon,body,screenreaderversion,no,xb9v0gg9de
POST,/internal/promon,body,screenreadersigner,no,xb9v0gg9de
POST,/internal/promon,body,hookingframeworks,no,xb9v0gg9de
GET,/notification,header,user_token,no,xb9v0gg9de
GET,/notification,querystring,topic,no,xb9v0gg9de
GET,/notification,querystring,wallet_type,no,xb9v0gg9de
GET,/notification,querystring,isRead,no,xb9v0gg9de
GET,/notification,querystring,m_hd_wallet_id,no,xb9v0gg9de
GET,/notification,querystring,page,no,xb9v0gg9de
GET,/notification,querystring,count,no,xb9v0gg9de
GET,/notification/count,header,user_token,no,xb9v0gg9de
GET,/notification/count,querystring,topic,no,xb9v0gg9de
GET,/notification/count,querystring,m_hd_wallet_id,no,xb9v0gg9de
GET,/notification/count,querystring,wallet_type,no,xb9v0gg9de
GET,/notification/count,querystring,isRead,no,xb9v0gg9de
PUT,/notification,header,user_token,no,xb9v0gg9de
PUT,/notification,body,"notification_id	",no,xb9v0gg9de
PUT,/notification,body,isRead,no,xb9v0gg9de
POST,/user/verify,header,user_token,no,xb9v0gg9de
POST,/user/verify,header,x-api-key,no,xb9v0gg9de
POST,/user/verify,body,password,no,xb9v0gg9de
GET,/setting/event,header,x-api-key,no,xb9v0gg9de
GET,/setting/event,querystring,is_public,no,xb9v0gg9de
GET,/setting/event,querystring,event_time,no,xb9v0gg9de
GET,/wallet/limit,header,user_token,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/password,header,user_token,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/password,path,m_hd_wallet_id,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/password,body,old_wallet_password,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/password,body,ip_address,no,xb9v0gg9de
PUT,/wallet/{m_hd_wallet_id}/password,body,new_wallet_password,no,xb9v0gg9de
GET,/setting/fiats,header,user_token,no,xb9v0gg9de
GET,/setting/cryptos,header,user_token,no,xb9v0gg9de
GET,/healthcheck,header,user_token,no,xb9v0gg9de
PUT,/user/email,header,user_token,no,xb9v0gg9de
PUT,/user/email,header,security_key,no,xb9v0gg9de
PUT,/user/email,body,email,no,xb9v0gg9de
PUT,/user/email,body,password,no,xb9v0gg9de
POST,/user/login/status,header,user_token,no,xb9v0gg9de
POST,/user/login/status,body,ip_address,no,xb9v0gg9de
POST,/user/login/status,body,device_identifier,no,xb9v0gg9de
PUT,/user/notification,header,user_token,no,xb9v0gg9de
PUT,/user/notification,body,received_deposit_enabled,no,xb9v0gg9de
PUT,/user/notification,body,withdraw_proposal_enabled,no,xb9v0gg9de
PUT,/user/email/delete,header,user_token,no,xb9v0gg9de
PUT,/user/email/delete,header,security_key,no,xb9v0gg9de
PUT,/user/email/delete,body,email,no,xb9v0gg9de
PUT,/user/email/delete,body,password,no,xb9v0gg9de
POST,/user/remove_request,header,user_token,no,xb9v0gg9de
POST,/user/remove_request/cancel,header,user_token,no,xb9v0gg9de
PUT,/user/client_type,header,user_token,no,xb9v0gg9de
PUT,/user/client_type,body,client_type_id,no,xb9v0gg9de
GET,/pdf/{uuid},header,user_token,no,xb9v0gg9de
GET,/pdf/{uuid},path,uuid,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/eth_contract/whitelist,path,m_hd_wallet_id,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/eth_contract/whitelist,querystring,currency_code,no,xb9v0gg9de
GET,/wallet/{m_hd_wallet_id}/eth_contract/whitelist,header,user_token,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/eth_contract/request,path,m_hd_wallet_id,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/eth_contract/request,body,currency_code,no,xb9v0gg9de
POST,/wallet/{m_hd_wallet_id}/eth_contract/request,header,user_token,no,xb9v0gg9de
GET,/address_book,header,user_token,no,xb9v0gg9de
GET,/address_book,querystring,page,no,xb9v0gg9de
GET,/address_book,querystring,currency_code,no,xb9v0gg9de
GET,/address_book,querystring,count,no,xb9v0gg9de
GET,/address_book,querystring,display,no,xb9v0gg9de
GET,/address_book,querystring,name,no,xb9v0gg9de
POST,/address_book,header,user_token,no,xb9v0gg9de
GET,/address_book/ens,header,user_token,no,xb9v0gg9de
GET,/address_book/ens,querystring,currency_code,no,xb9v0gg9de
GET,/address_book/ens,querystring,ens,no,xb9v0gg9de
DELETE,/address_book/{address_book_id},header,user_token,no,xb9v0gg9de
DELETE,/address_book/{address_book_id},path,address_book_id,no,xb9v0gg9de
